binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S1_envelope_binding_energy,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin,S2_envelope_binding_energy
12527,detached,,7577645573.225095,2.2041116976359207,0.3110255893260427,,step_SN,0.004866123199462891,BH,3.6308638843029977,-4.812115328911343,,,,,6.401494490085798,,,,,,,2.4777052225660536e-06,,H-rich_Core_H_burning,2.951579290047128,0.2786601524815737,1.917854211367553,,0.0,,0.0,0.0,0.6950060404314677,0.29060347338598463,0.7154999999987195,0.27027123463997016,0.09343979491721809,2.668261876153721,-1.5526965692442086e+49
13023,detached,,6170268408.707697,19.41920321546175,0.23091395121578784,,step_SN,0.004772663116455078,BH,3.893836082008881,-4.781747631907801,,,,,6.650501940492422,,,,,,,2.904465914034583e-11,,H-rich_Core_H_burning,2.212253044608145,0.20863146507522465,1.432928603805779,,0.0,,0.0,0.0,0.7013010424292155,0.28419255156620027,0.7154999999744717,0.2702712346399702,0.036635219178584824,1.0303255719440045,-1.0756587445814852e+49
122429,detached,,2859038387.7516994,5.627132481851485,0.6371800690013973,,step_SN,0.005160093307495117,BH,4.6622077769456,-4.703533672597675,,,,,7.270182859175752,,,,,,,2.0898707972340374e-08,,H-rich_Core_H_burning,2.4909613792747427,0.23621096107096062,1.6342925879770545,,0.0,,0.0,0.0,0.6988545300453896,0.2866874429826343,0.715499999994392,0.27027123463996977,0.06492233239874007,1.835995558540689,-1.254052208271428e+49
196044,detached,,1356700340.4924207,206.01221821801664,0.910055200807339,,step_SN,0.0035419464111328125,BH,3.623690006491832,-4.8129742587944735,,,,,6.3929371149274195,,,,,,,3.2857603687744747e-09,,H-rich_Core_H_burning,2.8097359725572786,0.26742153605781777,1.8368657157375001,,0.0,,0.0,0.0,0.6941108442020647,0.2914958164401524,0.7154999999979141,0.27027123463997005,0.05774939804541936,1.643431075044312,-1.4575027900223177e+49
236293,detached,,7117763887.713346,14.11540536988843,0.6121960820658775,,step_SN,0.001621246337890625,BH,2.5777945664456414,-4.960876993138852,,,,,5.2393048276242045,,,,,,,6.445834087140996e-09,,H-rich_Core_H_burning,2.904845114160788,0.27480493653988175,1.891483819019371,,0.0,,0.0,0.0,0.6950185004765301,0.2905878110901938,0.7154999999984581,0.27027123463996994,0.04299106384923863,1.226501469672993,-1.5216259662800992e+49
243588,detached,,6077690815.494161,11.413993847250788,0.38919286709216033,,step_SN,0.0035219192504882812,BH,3.7470913537900485,-4.798431015786091,,,,,6.526490843436248,,,,,,,2.189032561191343e-10,,H-rich_Core_H_burning,2.331258427754211,0.22024812506744246,1.522083593874002,,0.0,,0.0,0.0,0.7006821441370501,0.2848293697675129,0.7154999999833879,0.2702712346399698,0.03668319296162681,1.0340196250225495,-1.1521251485403921e+49
254644,detached,CC2,8567795196.836873,11.468097130168882,0.0,-98.99999999999999,step_CO_HMS_RLO,0.06275105476379395,BH,2.820387572117201,-4.921816504759528,,-98.69897000433602,,,4.645765001141585,,,,,,,0.6058331247611562,,H-rich_Core_H_burning,0.4157401064001858,-1.7392972053520057,-0.2972548408583595,-12.112497081066836,0.4157401064001858,0.01512147575276141,0.4157401064001858,0.010000276453178912,0.01685653640919091,1.0569523088977759e-24,0.06148821762141813,0.924577913540671,0.001568559208383747,0.023453018909153425,-2.5521149093206474e+46
255494,detached,,6055484846.6126585,13.732631254141156,0.7792653266848588,,step_SN,0.005148172378540039,BH,4.847438356902454,-4.686613002051936,,,,,7.175876002014384,,,,,,,2.619811851813652e-06,,H-rich_Core_H_burning,2.659874917531697,0.25202171379430993,1.7443429345355053,,0.0,,0.0,0.0,0.6978718442664953,0.28769289374968854,0.7154999999970177,0.27027123463997,0.10411956898678808,2.9554657061134537,-1.363399671855016e+49
264389,detached,CC2,5466711703.575207,13.631719626444902,0.0,-98.99999999999999,step_CO_HMS_RLO,0.06436991691589355,BH,3.905660606988784,-4.78043079568385,,-98.69897000433602,,,5.449716967624331,,,,,,,1.0,,H-rich_Core_H_burning,0.4123839607419426,-1.7606499088952843,-1.3391064663201098,-14.517231557707266,0.4123839607419426,0.016078568417427275,0.32833513285507776,0.006267003830070366,0.04044627623616677,2.3651845117930504e-15,0.12934894936567087,0.8565472528504173,0.001710797564752048,0.013753011312987807,-6.647842563825217e+46
279481,detached,,4574377861.53387,2.4350446693254377,0.49129998442700196,,step_SN,0.0035359859466552734,BH,3.747189056450474,-4.798419692023444,,,,,6.526658820465688,,,,,,,3.3637290448054364e-06,,H-rich_Core_H_burning,2.1885326315208777,0.20606978854769473,1.4144238548552555,,0.0,,0.0,0.0,0.7018532045949505,0.2836337066311654,0.7154999999726426,0.27027123463997027,0.056611710089392,1.5914559996350268,-1.0607504397324421e+49
