binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin
277127,RLO2,oRLO2,7452887516.676103,4.320439044390302,0.0,,step_detached,0.34934473037719727,BH,3.9080603244428387,-4.780164038247711,,-13.591109808437698,,,6.6619340865491585,,,,,,,5.516884963175876e-10,H-rich_Shell_H_burning,1.9472269281273273,0.7870395942071516,1.3479822246918631,-11.581621335312782,0.22326789655442217,,0.0,0.0,0.0,0.9861344290571594,0.7138032332278395,0.27153555594766177,0.2705238880189354,44.77774287022379
300689,RLO2,oRLO2,8108225520.285329,3.2468666814251694,0.0,,step_detached,0.32296085357666016,BH,3.0906775021807222,-4.882071606255373,,-13.107595560353829,,,5.795309449117477,,,,,,,3.7615660164681246e-08,H-rich_Shell_H_burning,2.1223150559730564,0.7218577403257588,1.655688489269031,-11.352749174482367,0.20278435726720942,,0.0,0.0,1.9910619165451636e-20,0.9861357403059825,0.7154999999674385,0.27027123463996994,0.25421619467099527,5.724822673827296
379156,RLO2,oRLO2,3211206430.0091124,1.9918285463272265,0.0,,step_detached,0.3055243492126465,BH,4.0836302518307015,-4.761078884633444,,-13.006868639382601,,,6.823558081151905,,,,,,,1.8640535545200417e-06,H-rich_Shell_H_burning,1.9013327405308034,0.5585874320180357,1.4793780083540404,-11.648282281178238,0.15951789860832857,,0.0,0.0,1.3212974234696814e-07,0.9861338979178176,0.7154999999044301,0.2702712346399699,0.2698291428469855,5.775602160679288
411727,RLO2,oRLO2,1652329819.2443001,3.201072863750235,0.0,,step_detached,0.30362892150878906,BH,3.855307888005599,-4.786066230193503,,-13.645334501069152,,,6.62104932357997,,,,,,,3.988358815549014e-08,H-rich_Shell_H_burning,1.9761064678302778,0.7027149623092394,1.5133368669111784,-11.478651060419047,0.19018104681357806,,0.0,0.0,2.6919726281167715e-20,0.9861346658718629,0.7154999999453864,0.27027123463996994,0.2896136352973643,7.005271703609533
442981,RLO2,oRLO2,294984336.79147077,1.4635001661288318,0.0,,step_detached,0.17420411109924316,BH,4.492275732160138,-4.7196588920312035,,-99.0,,,6.90951719784798,,,,,,,1.3912601647427477e-09,H-rich_Core_H_burning,2.956984059396643,0.5383705602120753,2.124070192777863,-11.316730283512777,0.0,,0.0,0.0,0.2212354244915961,0.7648960402036828,0.7154999999987511,0.2702712346399699,0.2816708622367415,6.919787156454163
457940,RLO2,oRLO2,4446293873.128684,1.87942270542713,0.0,,step_detached,0.3070640563964844,BH,4.084192230639036,-4.7610191222435745,,-13.25671323747081,,,6.82390893508401,,,,,,,5.459763347208311e-07,H-rich_Shell_H_burning,1.9358350671609341,0.5445788805506,1.5104902541916554,-11.650230280792663,0.16346547496818956,,0.0,0.0,1.985438003064556e-06,0.9861323754204121,0.715499999924152,0.27027123463997,0.31073134575760003,6.6461308841707165
464365,RLO2,oRLO2,5658404255.585147,55.98824304957224,0.0,,step_detached,0.8015458583831787,BH,3.1717387236810524,-4.8708278925573945,,-11.079950033516354,,,5.902315687550717,,,,,,,1.4442002857226718e-15,H-rich_Shell_H_burning,1.6354243337852266,1.5039345697925286,2.4490827986169985,-9.659238457924747,0.33216285361432213,,0.0,0.0,0.0,0.9861307244359618,0.7005670648385436,0.2846200428978281,0.29130667471040017,105.14338227772372
467784,ERR,FAILED,4512722806.030953,12.42200680648233,0.0,-98.99999999999999,,,BH,2.6969854028175777,-4.941246701193189,,-98.69897000433602,,,4.442758927114131,,,,,,,0.6070040070220548,H-rich_Core_H_burning,0.41948225343660983,-1.7349565581424182,-0.33158580598800924,-12.21211399376032,0.41948225343660983,0.015467079869848034,0.4137498208882041,0.009951885846081008,0.011481089688025995,2.146237422813679e-23,0.07045875927645213,0.9156159899825278,0.001371130443860519,0.019879414538260098
495682,RLO2,oRLO2,6654503844.462988,8.665794683873994,0.0,,step_detached,0.5563960075378418,BH,2.5777945664456414,-4.960876993138852,,-12.512795578425218,,,5.2393048276242045,,,,,,,5.19499787637218e-08,H-rich_Shell_H_burning,1.998079526699156,0.9998091926035434,1.6979425031971631,-10.853954171694177,0.25118486494165665,,0.0,0.0,0.0,0.9861341934368085,0.7074657537186481,0.2778636270996677,0.2985102718128687,76.86079609673142
543603,RLO2,oRLO2,3909213374.4933696,2.115473457934091,0.0,,step_detached,0.20297789573669434,BH,4.67126760513685,-4.7026905494382625,,-13.848608287667682,,,7.04197819994378,,,,,,,2.652919298211316e-07,H-rich_Core_H_burning,2.7395536354543872,0.6320314204708817,2.0280801940781945,-11.183548852243048,0.0,,0.0,0.0,0.04582327461258166,0.94031185541999,0.7154999999974938,0.2702712346399698,0.2521581868544524,6.043549279633952
571684,RLO2,oRLO2,6568366074.804863,1.8769107116723542,0.0,,step_detached,0.3428328037261963,BH,3.842803612765813,-4.787477106747413,,-13.414096667733343,,,6.611597684895021,,,,,,,1.3212310249274537e-09,H-rich_Shell_H_burning,1.991560511268311,0.5494216174527286,1.561657823961907,-11.609997286321924,0.16936286672013579,,0.0,0.0,3.807155149020522e-06,0.986131022128996,0.7154999999526993,0.2702712346399702,0.2402413817253041,5.136944355537392
572991,RLO2,oRLO2,2525892404.637554,1.9393035679177606,0.0,,step_detached,0.235626220703125,BH,4.850892661371432,-4.686303632237625,,-12.508826409708,,,7.178939672325383,,,,,,,6.216506428496183e-07,H-rich_Core_H_burning,2.929461554830643,0.6170313589038151,2.1347966946839643,-11.094612183830229,0.0,,0.0,0.0,0.10345437511238709,0.8826798694152105,0.7154999999985954,0.2702712346399699,0.1736991737464031,4.1988550658929995
592501,RLO2,oRLO2,4519582604.919632,3.4369994963764365,0.0,,step_detached,0.29251718521118164,BH,4.322265011698128,-4.7364139057461765,,-99.0,,,7.000738364015777,,,,,,,3.623548484666646e-13,H-rich_Shell_H_burning,2.4631920747383957,0.7567067160043788,1.9358542802682581,-11.105396072935095,0.23749458510725238,,0.0,0.0,2.153204749432682e-17,0.9861376887825676,0.7154999999927789,0.27027123463996944,0.08450940104893283,1.8776309986632898
608998,RLO2,oRLO2,4293168158.6028438,2.6615999097013083,0.0,,step_detached,0.2568490505218506,BH,2.577794566445842,-4.960876993138818,,-99.0,,,5.2393048276242045,,,,,,,8.414151482121425e-07,H-rich_Shell_H_burning,2.8345257645611652,0.7174550238638647,2.201941380577809,-10.932875837564094,0.26831647527073194,,0.0,0.0,1.2748231714798422e-08,0.9861392771655656,0.7154999999980488,0.2702712346399698,0.18950072615378982,4.083334998971806
689764,RLO2,oRLO2,10774893827.595158,2.0330163897612348,0.0,,step_detached,0.28937602043151855,BH,4.083937103593714,-4.761046252144062,,-99.0,,,6.8237496544746525,,,,,,,1.9609128471279392e-07,H-rich_Shell_H_burning,1.9081090490094181,0.5650682304074861,1.485996708496135,-11.634737968706531,0.16052098236529785,,0.0,0.0,5.700837749048931e-08,0.9861340323900942,0.715499999908347,0.27027123463997,0.2890927980852033,6.191996527588245
693622,RLO2,oRLO2,8368716827.196687,66.04408844386006,0.0,,step_detached,0.9570326805114746,BH,3.1731978675851416,-4.870628143309185,,-10.96377652497595,,,5.902285912708341,,,,,,,5.956724946611895e-16,H-rich_Shell_H_burning,1.96491962223297,1.5810922901874962,2.5982518048767895,-9.437456400275696,0.3569844313336048,,0.0,0.0,0.0,0.9857196335172287,0.6991707299553751,0.28616854942032444,0.294094541036068,121.81636420450309
695566,RLO2,oRLO2,4618978275.004866,1.191071861466684,0.0,,step_detached,0.23166990280151367,BH,4.078657604259262,-4.7616080484429,,-13.287232251982623,,,6.819653748789844,,,,,,,1.607614624908417e-07,H-rich_Core_H_burning,1.9593212801363737,0.414425962854729,1.3843522496822713,-11.895306479552769,0.0,,0.0,0.0,0.22986021923676764,0.7562580257566859,0.7154999999373085,0.2702712346399699,0.2867686647877705,7.032525638145932
725987,RLO2,oRLO2,1396871186.5132039,3.776372314907897,0.0,,step_detached,0.3058493137359619,BH,2.5777945664457422,-4.960876993138835,,-99.0,,,5.2393048276242045,,,,,,,2.1820888551919948e-07,H-rich_Shell_H_burning,2.4435040272314925,0.7932072849797687,1.907171909947222,-11.09197637068023,0.24218470527336827,,0.0,0.0,0.0,0.9861375915101345,0.7154999999914133,0.27027123463996977,0.11026990308114852,2.508966259716583
726773,RLO2,oRLO2,9191471181.83231,5.615989545412963,0.0,,step_detached,0.2986619472503662,BH,3.9317643277565293,-4.777537818997895,,-12.811486623603656,,,6.679075672137914,,,,,,,1.63670199631638e-10,H-rich_Shell_H_burning,2.4962651251636108,0.9025651954682088,1.888586759335564,-11.005542019800545,0.26069936903821467,,0.0,0.0,0.0,0.9861378492977457,0.7154999999946254,0.2702712346399695,0.20177732814563676,5.100442511676606
755405,RLO2,oRLO2,1211322931.5851536,0.9456777956578428,0.0,,step_detached,0.18691372871398926,BH,3.0907327161618645,-4.882063847790399,,-99.0,,,5.7960495546894135,,,,,,,1.0735629101356923e-06,H-rich_Core_H_burning,2.525596482476874,0.39351475728843416,1.7914126111169582,-11.73479887611222,0.0,,0.0,0.0,0.39406885469649516,0.5920394945862862,0.7154999999958689,0.2702712346399693,0.29510839711797676,7.531761042425973
762839,RLO2,oRLO2,1043644817.3124357,11.835389173647648,0.0,,step_detached,0.5057036876678467,BH,4.1698764096641145,-4.752002113897906,,-12.288747396886478,,,6.868825529673743,,,,,,,1.5855645882005628e-12,H-rich_Shell_H_burning,2.596581541209428,1.1237726620459416,1.9544848414021043,-10.759852597126306,0.3102621931701197,,0.0,0.0,0.0,0.9861383142742668,0.7140953056380444,0.2713863356981185,0.2941800439952604,60.59396094032472
782773,RLO2,oRLO2,6497609912.220668,1.1148253276089943,0.0,,step_detached,0.3760857582092285,BH,4.165716039110597,-4.752435634642881,,-13.272015835747698,,,6.865596474647347,,,,,,,2.8516744352735874e-07,H-rich_Core_H_burning,2.0722727002713093,0.4038152114083825,1.4760211970835289,-11.866689718910044,0.0,,0.0,0.0,0.2770548257355106,0.7090608978539276,0.7154999999633929,0.27027123463996994,0.28637230426252963,7.076158596090423
