binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin
22892,detached,CC1,4498899758.009632,1.6582246360284891,0.0,,step_detached,0.8688838481903076,stripped_He_Core_He_depleted,6.724136684155787,-0.22919667226487528,5.260671186003058,-5.175801346684738,6.724136684155787,,5.358472402392432,0.09324330453943272,0.0,1.1015918179615533e-12,1.0000000000000002e-99,0.9857999566579471,2.5041297676881035e-05,7.68741375545078e-05,H-rich_Core_H_burning,2.9982721009330646,0.2846391410706023,1.9451064555820465,-12.011506371155027,0.0,,0.0,0.0,0.6916160038151744,0.2940230550200049,0.7154999999989764,0.2702712346399701,0.10585609851149647,3.0235138107626063
30640,detached,CC1,8381729757.848152,1.3410354213121938,0.0,,step_detached,0.5254302024841309,stripped_He_Core_He_depleted,8.055777533687918,-0.42072353572573706,5.378530724634927,-5.1331568368906915,8.055777533687918,,7.164219955799148,0.12035075489836869,0.0,2.4119189516756897e-12,1.0000000000000004e-99,0.2750459023256748,3.7341027283643806e-06,1.479532710034113e-05,H-rich_Core_H_burning,2.945926744059777,0.277390998923733,1.914221653474791,-12.07359420663021,0.0,,0.0,0.0,0.6962442585766988,0.2893548758960904,0.7154999999986887,0.2702712346399701,0.1253045562668092,3.5785128108156794
98004,detached,CC1,9548855765.57619,1.233282772610175,0.0,,step_detached,0.7255473136901855,stripped_He_Core_He_depleted,7.175882414561768,-0.3526307449305445,5.28325302760367,-4.737994284323596,7.175882414561768,,5.866644329496912,0.0925324602770025,0.0,1.8377156042944853e-12,9.99642245749014e-100,0.7282655913763542,1.7651752666160545e-05,6.249071872995236e-05,H-rich_Core_H_burning,2.6719867752184574,0.254574168046181,1.7527550168716584,-12.356492305669242,0.0,,0.0,0.0,0.6955451126657212,0.2900392516155857,0.7154999999970924,0.27027123463997005,0.0975791488800839,2.76927189409086
152104,detached,CC1,2025330449.4504879,1.0206139908854945,0.0,,step_detached,0.6029512882232666,stripped_He_Core_C_depleted,6.7095190104472735,-0.22739260101043657,5.259471943677745,-5.176687043099416,6.7095190104472735,,5.341759376167654,0.093036221513456,0.0,1.021666353463963e-12,1e-99,0.9857999999959203,6.567153192212802e-05,0.0002013218976196261,H-rich_Core_H_burning,1.6135179987102952,0.15478503627831863,0.8756671073747457,-12.577145359448284,0.0,,0.0,0.0,0.7052033600701701,0.280192941381184,0.7154999997233993,0.27027123463996955,0.03213139464765531,0.9046152894703123
197243,detached,CC1,8824689361.526524,2.344240081301187,0.0,,step_detached,0.7099111080169678,stripped_He_Core_He_depleted,7.169269485966089,-0.33704044387727283,5.286209346573909,-4.737921803110967,7.169269485966089,,5.831432296314084,0.09220863290375955,0.0,1.4365715683315295e-12,1e-99,0.7883742589030422,4.132617074113031e-07,1.4213077295725782e-06,H-rich_Core_H_burning,2.971203083353359,0.28017245991659806,1.9286548615862955,-12.043187299124227,0.0,,0.0,0.0,0.6951269095428292,0.2904828962505654,0.7154999999988273,0.27027123463997005,0.08036916721714994,2.296414033453741
214571,detached,CC1,9934345345.513956,11.366437917609645,0.0,,step_detached,0.41905975341796875,stripped_He_Core_He_depleted,7.396295433858802,-0.4459583557030868,5.318973412568345,-4.9426446284201315,7.396295433858802,,6.5261607774984,0.10978953707906522,0.0,3.202898870425237e-12,1.0000000000000006e-99,0.4179103572183878,1.2376881826652187e-11,4.9485920205375503e-11,H-rich_Core_H_burning,2.0793168980707977,0.1956983640291467,1.326741483722237,-12.31690159362978,0.0,,0.0,0.0,0.7017690108078225,0.2837047928974568,0.7154999999639338,0.2702712346399703,0.033423738179429494,0.9377959566252679
217672,detached,CC1,9226441169.477865,11.848819563818607,0.0,,step_detached,0.4127061367034912,stripped_He_Core_C_depleted,7.32108151389018,-0.4526003594991261,5.311683791760251,-4.8980798948093724,7.32108151389018,,6.390906611642656,0.10421120949341912,0.0,1.5488659938789246e-12,1.8242623214025502e-64,0.460086297780069,7.788740205647722e-12,3.085647660561533e-11,H-rich_Core_H_burning,1.8543384265993272,0.17390147546473472,1.126784347564858,-12.444481390492209,0.0,,0.0,0.0,0.7041750560154455,0.28125495008133267,0.7154999998765191,0.27027123463997005,0.030180808904214193,0.8455905711781098
227670,detached,CC1,314385439.6960581,64.99502718534521,0.0,,step_detached,0.3919718265533447,stripped_He_Core_He_depleted,7.796588098018505,-0.43195662935262874,5.358486739784497,-5.0849157052822695,7.796588098018505,,6.864913913061541,0.11340000434410062,0.0,2.0720220829345352e-12,1.0000000000000002e-99,0.3091521279063471,4.5551122974465436e-15,1.8025382624474824e-14,H-rich_Core_H_burning,2.635614650752911,0.24955531567348058,1.7289057489772892,-12.373746717290649,0.0,,0.0,0.0,0.6983727003246434,0.28718594083238097,0.7154999999968678,0.27027123463996994,0.039820827226699655,1.129760386289036
234637,detached,CC1,8256868547.933511,22.432902505399014,0.0,,step_detached,0.4152214527130127,stripped_He_Core_He_depleted,8.051447236312875,-0.42075275424710035,5.378171828642039,-5.132296020253627,8.051447236312875,,7.159925828135102,0.12032325625381272,0.0,2.4102439544641147e-12,1.0000000000000004e-99,0.27546712728374784,9.024536771567521e-13,3.5770050420633106e-12,H-rich_Core_H_burning,2.8913547260306656,0.27297509401400294,1.8833978965004041,-12.136067766699618,0.0,,0.0,0.0,0.6961212695508215,0.289475317120844,0.7154999999983827,0.27027123463997005,0.05093396272198409,1.4528953620208926
271714,detached,CC1,7629761465.445297,9.074882513626129,0.0,,step_detached,0.42328786849975586,stripped_He_Core_He_depleted,7.580045264861329,-0.43917789929936835,5.338486668816936,-5.01699624129188,7.580045264861329,,6.67989132645038,0.1117590604669126,0.0,3.896944769617809e-12,1.0000000000000002e-99,0.3545778765500902,8.344189832446225e-11,3.3370634309047577e-10,H-rich_Core_H_burning,2.700722433697775,0.256692001079917,1.7704044736435796,-12.34817288131883,0.0,,0.0,0.0,0.6962060189392976,0.28937568834031285,0.7154999999972682,0.27027123463996994,0.04803960482891272,1.3641862178120665
