binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin
22892,detached,,4498899758.009632,1.494219807996291,0.36093846761462467,,step_SN,0.0022215843200683594,BH,2.6796725387255926,-4.944043571445801,,,,,5.358472402392432,,,,,,,1.904051726491958e-05,H-rich_Core_H_burning,2.9982721009330646,0.2846391410706023,1.9451064555820465,,0.0,,0.0,0.0,0.6916160038151744,0.2940230550200049,0.7154999999989764,0.2702712346399701,0.10585609851149647,3.0235138107626063
30640,detached,,8381729757.848152,1.8846524956855126,0.14285588417112963,,step_SN,0.0048563480377197266,BH,4.5177301838167265,-4.717205007448179,,,,,7.164219955799148,,,,,,,7.0012257267807885e-06,H-rich_Core_H_burning,2.945926744059777,0.277390998923733,1.914221653474791,,0.0,,0.0,0.0,0.6962442585766988,0.2893548758960904,0.7154999999986887,0.2702712346399701,0.1253045562668092,3.5785128108156794
98004,detached,,9548855765.57619,2.740360115702378,0.3519894804319632,,step_SN,0.0031828880310058594,BH,3.141908371506627,-4.874931781656255,,,,,5.866644329496912,,,,,,,2.2310881651599514e-05,H-rich_Core_H_burning,2.6719867752184574,0.254574168046181,1.7527550168716584,,0.0,,0.0,0.0,0.6955451126657212,0.2900392516155857,0.7154999999970924,0.27027123463997005,0.0975791488800839,2.76927189409086
152104,detached,,2025330449.4504879,0.7960158010634926,0.6695282182086113,,step_SN,0.0016994476318359375,BH,2.6677034358556684,-4.9459877489397375,,,,,5.341759376167654,,,,,,,4.954639300480572e-05,H-rich_Core_H_burning,1.6135179987102952,0.15478503627831863,0.8756671073747457,,0.0,,0.0,0.0,0.7052033600701701,0.280192941381184,0.7154999997233993,0.27027123463996955,0.03213139464765531,0.9046152894703123
197243,detached,,8824689361.526524,3.3174558155935885,0.6001188820842098,,step_SN,0.002588987350463867,BH,3.1180305258128187,-4.878244934416428,,,,,5.831432296314084,,,,,,,4.910286507925857e-07,H-rich_Core_H_burning,2.971203083353359,0.28017245991659806,1.9286548615862955,,0.0,,0.0,0.0,0.6951269095428292,0.2904828962505654,0.7154999999988273,0.27027123463997005,0.08036916721714994,2.296414033453741
214571,detached,,9934345345.513956,6.844816240369969,0.7167917353888104,,step_SN,0.003830432891845703,BH,3.746899373253475,-4.7984532672381475,,,,,6.5261607774984,,,,,,,2.2834189419779687e-11,H-rich_Core_H_burning,2.0793168980707977,0.1956983640291467,1.326741483722237,,0.0,,0.0,0.0,0.7017690108078225,0.2837047928974568,0.7154999999639338,0.2702712346399703,0.033423738179429494,0.9377959566252679
217672,detached,,9226441169.477865,7.859835990940782,0.598013521912036,,step_SN,0.003459930419921875,BH,3.621244914483456,-4.8132673987657455,,,,,6.390906611642656,,,,,,,1.4320109351801739e-11,H-rich_Core_H_burning,1.8543384265993272,0.17390147546473472,1.126784347564858,,0.0,,0.0,0.0,0.7041750560154455,0.28125495008133267,0.7154999998765191,0.27027123463997005,0.030180808904214193,0.8455905711781098
227670,detached,,314385439.6960581,52.74960250476701,0.6638753066668125,,step_SN,0.0042073726654052734,BH,4.164532667285448,-4.752559023961801,,,,,6.864913913061541,,,,,,,8.40120986821425e-15,H-rich_Core_H_burning,2.635614650752911,0.24955531567348058,1.7289057489772892,,0.0,,0.0,0.0,0.6983727003246434,0.28718594083238097,0.7154999999968678,0.27027123463996994,0.039820827226699655,1.129760386289036
234637,detached,,8256868547.933511,15.899186173014021,0.6222466698180706,,step_SN,0.00492405891418457,BH,4.515032949911798,-4.717464373008593,,,,,7.159925828135102,,,,,,,1.693211912167674e-12,H-rich_Core_H_burning,2.8913547260306656,0.27297509401400294,1.8833978965004041,,0.0,,0.0,0.0,0.6961212695508215,0.289475317120844,0.7154999999983827,0.27027123463997005,0.05093396272198409,1.4528953620208926
271714,detached,,7629761465.445297,14.9748135408362,0.35793601229473615,,step_SN,0.003989458084106445,BH,3.932407729908188,-4.777466755953322,,,,,6.67989132645038,,,,,,,1.53730313501639e-10,H-rich_Core_H_burning,2.700722433697775,0.256692001079917,1.7704044736435796,,0.0,,0.0,0.0,0.6962060189392976,0.28937568834031285,0.7154999999972682,0.27027123463996994,0.04803960482891272,1.3641862178120665
